"Credit Card Type","Tip Card Credit"
"Roles Resources","Resurse Roluri"
"Zip/Post Code","Cod Poștal"
"Order Status","Status Comandă"
"Store","Magazin"
"Product Categories","Categorii Produse"
"Online Customers","Clienți Online"
"Next page","Pagina următoare"
"Items Shipped","Articole Expediate"
"Unassigned Attributes","Atribute Neasignate"
"Not Charged Yet","Ne-taxat Momentan"
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","Acest grup conține atribute de sistem.\nMutati atributele de sistem în alt grup și reîncercați."
"copy data from","copiere date de la"
"Add","Adăugare"
"Total Payed","Total Achitat"
"Shopping Cart","Coș Cumpărături"
"Order History","Istoric Comandă"
"Empty","Gol"
"Unable to complete request. Please, try again later.","Nu se poate finaliza solicitarea. Încercați mai târziu."
"Customers","Clienți"
"Customer does not have any addresses","Clientul nu are nicio adresă"
"Add New Role","Adăugare Rol Nou"
"Street Address","Adresă Stradală"
"Are You Sure?","Sunteți Sigur?"
"Shipping Address","Adresă Expediere"
"Paid","Achitat"
"Page","Pagină"
"Discount","Discount"
"Set root category for this store in","Setare categorie rădăcină pentru acest magazin la"
"Groups","Grupuri"
"View","Vizualizare"
"Qty Ordered","Cant Comandată"
"Global Record Search","Căutare Globală în Înregistrări"
"Card Number","Număr Card"
"PO Number","Număr PO"
"Grand Total","Total General"
"Please select one or more attributes.","Selectați unul sau mai multe atribute."
"Dashboard","Pagina Principală"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți asta?"
"Please add one or more options","Adăugați una sau mai multe opțiuni"
"Role Users","Utilizatori Roluri"
"Add New Tax Rule","Adăugare Regulă Taxare Nouă"
"Subscribe to newsletter","Abonare la buletin"
"Dashboard Control","Panou Control"
"Default Shipping","Expediere Implicită"
"Qty","Cant"
"Add to Queue","Adăugare la Coadă"
"Average Sale","Vânzare Medie"
"Cancel","Anulare"
"All stores","Toate magazinele"
"Personal Information","Informații Personale"
"City","Oraș"
"Export Tax Rates","Exportare Cote Taxare"
"1 star","1 stea"
"Current Configuration Scope","Acoperire Configurație Curentă"
"Add New Template","Adăugare Șablon Nou"
"Move to:","Mutare la:"
"First Name","Prenume"
"Change Order Status","Schimbare Status Comandă"
"Are you sure you want to delete this address?","Sunteți sigur că doriți să ștergeți această adresă?"
"Are you sure you want to do it?","Are you sure you want to do it?"
"Add to Order","Adăugare la Comandă"
"Product ID","ID Produs"
"Payment Method","Metodă Plată"
"What is this?","Ce este asta?"
"Users","Utilizare"
"Customer Addresses","Adrese Client"
"Qty Backordered","Cant Precomandată"
"You can not remove system attribute from this set.","Nu puteți elimina atribute de sistem din acest set."
"Price","Preț"
"Who","Cine"
"Rating Not Alvailable","Scor Indisponibil"
"Order Comment","Comentariu Comandă"
"Edit Role","Editare Rol"
"Tax Rates Import / Export","Importare / Exportare Cote Taxare"
"Magento Logo","Sigla Magento"
"A name is required","Un nume e necesar"
"Assigned options","Opțiuni atribuite"
"Please Enter New Group Name","Introduceți un Nume Grup Nou"
"Name","Nume"
"Email Preview","Previzualizare E-mail"
"Newsletter Queue","Coadă Buletin"
"Remove","Eliminare"
"Last Log In:","Ultima Logare:"
"Logged in as <strong>%s</strong>","Logat ca <strong>%s</strong>"
"Name on Card","Nume pe Card"
"All Stores","Toate Magazinele"
"Send comment to customer","Trimitere comentariu la client"
"Account Created on:","Cont Creat la:"
"Backups Control","Control Backup-uri"
"Add New Address","Adăugare Adresă Nouă"
"Account Created in:","Cont Creat la:"
"Default Billing","Facturare Implicită"
"Manage Titles (Size, Color, etc.)","Gestionare Titluri (Mărime, Culoare, etc.)"
"Please confirm site switching. All data not saved will be lost.","Confirmați schimbarea site-ului. Orice date ne-salvate vor fi pierdute."
"Please select from each ratings above","Selectați din fiecare scor de mai sus"
"Qty Shipped","Cant Expediată"
"Are you sure you want to cancel add this address?","Sunteți sigur ca doriți să anulați adăugarea acestei adrese?"
"The information in this tab has been changed.","Informațiile din această casetă au fost schimbate."
"2 stars","2 stele"
"Apply","Aplicare"
"Total","Total"
"User roles","Roluri utilizator"
"Wishlist Report","Raport Listă Dorințe"
